;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
8264;fi fără inimă;Expresie;0;1;1;0;1;1;0;0;0;0;DEX
8265;fi pe plac;Expresie;1;0;0;0;0;0;1;0;0;1;DEX
8268;scoate fum;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-01787319-v
8269;scoate fum pe nări;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-01787319-v
8271;fire aprinsă;Expresie;0;1;1;0;0;0;0;0;0;0;
8297;ieși din fire;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8300;proastă dispoziție;Expresie;0;1;1;0;0;0;0;1;0;0;ENG30-07551498-n
8307;împietrire sufletească;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8315;împlini o dorinţă;Expresie;1;0;0;0;0;0;1;0;1;0;DEX
8356;îndoială de sine;Expresie;0;1;0;0;0;1;0;1;0;0;
8375;înfuriat la culme;Expresie;0;1;1;0;0;0;0;0;0;0;
8378;îngheța sângele în vene;Expresie;0;1;0;0;0;1;0;0;1;0;DEX
8379;îngheța sângele în vine;Expresie;0;1;0;0;0;1;0;0;1;0;DEX
8380;îngheța sîngele în vene;Expresie;0;1;0;0;0;1;0;0;1;0;DEX
8403;trezi interesul;Expresie;1;0;0;1;0;0;0;0;0;0;ENG30-01821423-v
8439;lăsa perplex;Expresie;0;1;0;0;0;0;0;0;1;0;ENG30-00622384-v
8440;pune în încurcătură;Expresie;0;1;0;0;0;0;0;0;1;0;ENG30-00622384-v
8445;lipsă de ajutor;Expresie;0;1;0;0;0;1;0;1;0;0;
8446;lipsă de apărare;Expresie;0;1;0;0;0;1;0;1;0;0;
8449;lua prin surprindere;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-00725274-v
8450;lua pe neașteptate;Expresie;0;0;0;0;0;0;0;0;1;0;ENG30-00725274-v
8461;mânios la culme;Expresie;0;1;1;0;0;0;0;0;0;0;
8476;mînios la culme;Expresie;0;1;1;0;0;0;0;0;0;0;
8492;muri de inimă rea;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8495;mustrare de conștiință;Expresie;0;0;0;0;1;1;0;1;0;0;ENG30-07536074-n
8499;părere de rău;Expresie;0;0;0;0;1;1;0;1;0;0;ENG30-07536245-n
8500;mustrare de conștiință;Expresie;0;0;0;0;1;1;0;1;0;0;ENG30-07536245-n
8547;nu putea suferi;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8560;saluta cu urale;Expresie;1;0;0;0;0;0;1;0;1;1;ENG30-00900376-v
8567;părea rău;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8573;pierde calmul;Expresie;0;1;1;0;0;0;0;0;0;0;
8574;pierde calmul;Expresie;0;1;0;0;0;1;0;0;0;0;
8575;pierde capul;Expresie;0;1;0;0;0;1;0;0;1;0;DEX
